id,destination,weight,priority,senderName,receiverName,status,deliveryDate
PKG0001,Peshawar,5.97,3,Bilal Ahmed,Ali Raza,Pending,26/08/2026
PKG0002,Multan,1.28,1,Maryam Javed,Ahmed Hameed,In Transit,30/06/2026
PKG0003,Peshawar,18.04,3,Usman Hameed,Ali Javed,Out for Delivery,29/06/2026
PKG0004,Karachi,17.6,2,Zain Hameed,Hassan Khan,Delivered,20/06/2026
PKG0005,Multan,2.87,2,Fatima Iqbal,Ahmed Ahmed,Delivered,12/09/2026
PKG0006,Multan,2.43,2,Ali Qureshi,Usman Ahmed,Delivered,13/08/2026
PKG0007,Quetta,24.64,1,Fatima Ahmed,Ali Butt,Pending,19/07/2026
PKG0008,Karachi,9.57,1,Hassan Qureshi,Bilal Iqbal,Delivered,29/08/2026
PKG0009,Sialkot,18.36,1,Saad Ahmed,Noor Malik,Out for Delivery,19/07/2026
PKG0010,Islamabad,6.11,1,Hassan Javed,Fatima Iqbal,Delivered,22/07/2026
PKG0011,Faisalabad,5.71,2,Hassan Ahmed,Fatima Hameed,Out for Delivery,22/09/2026
PKG0012,Karachi,6.54,3,Saad Qureshi,Ayesha Raza,Delivered,04/09/2026
PKG0013,Multan,9.37,1,Noor Sheikh,Saad Hameed,Out for Delivery,12/06/2026
PKG0014,Karachi,15.87,3,Hamza Khan,Amna Ahmed,Out for Delivery,16/08/2026
PKG0015,Rawalpindi,13.46,3,Ahmed Sheikh,Sara Hameed,Pending,27/08/2026
PKG0016,Quetta,19.33,2,Maryam Ahmed,Bilal Javed,Pending,08/07/2026
PKG0017,Quetta,24.31,1,Sara Malik,Zain Khan,Pending,20/09/2026
PKG0018,Hyderabad,5.37,2,Bilal Raza,Amna Javed,In Transit,09/08/2026
PKG0019,Hyderabad,8.44,1,Hamza Javed,Saad Khan,Pending,27/09/2026
PKG0020,Peshawar,22.01,1,Hussain Raza,Fatima Khan,Pending,02/09/2026
PKG0021,Karachi,3.65,2,Zain Ahmed,Hamza Javed,In Transit,04/07/2026
PKG0022,Sialkot,19.0,3,Usman Hameed,Sara Butt,In Transit,31/08/2026
PKG0023,Rawalpindi,22.54,2,Hassan Sheikh,Bilal Iqbal,Pending,02/07/2026
PKG0024,Hyderabad,14.07,3,Fatima Ahmed,Hussain Khan,In Transit,01/06/2026
PKG0025,Islamabad,21.56,1,Ahmed Khan,Fatima Ahmed,In Transit,06/07/2026
PKG0026,Karachi,18.22,3,Bilal Qureshi,Fatima Javed,Out for Delivery,02/07/2026
PKG0027,Peshawar,2.81,3,Hamza Qureshi,Hamza Sheikh,Out for Delivery,16/07/2026
PKG0028,Lahore,1.99,3,Sara Sheikh,Zain Khan,Delivered,11/09/2026
PKG0029,Peshawar,13.64,1,Amna Ahmed,Fatima Butt,Out for Delivery,24/06/2026
PKG0030,Rawalpindi,20.3,3,Hassan Qureshi,Fatima Ahmed,Pending,07/06/2026
PKG0031,Lahore,23.2,1,Bilal Javed,Amna Khan,In Transit,23/07/2026
PKG0032,Islamabad,4.53,1,Zain Qureshi,Fatima Sheikh,Out for Delivery,04/07/2026
PKG0033,Sialkot,16.72,2,Saad Qureshi,Hassan Sheikh,In Transit,25/06/2026
PKG0034,Sialkot,1.99,2,Hassan Butt,Ali Hameed,Pending,07/06/2026
PKG0035,Karachi,1.89,3,Noor Qureshi,Usman Javed,Pending,17/09/2026
PKG0036,Peshawar,10.39,3,Ayesha Ahmed,Noor Ahmed,In Transit,14/08/2026
PKG0037,Multan,16.61,3,Noor Khan,Noor Ahmed,Delivered,28/09/2026
PKG0038,Peshawar,7.01,1,Hassan Butt,Bilal Iqbal,Delivered,29/07/2026
PKG0039,Hyderabad,24.96,1,Hussain Ahmed,Ali Qureshi,Pending,08/08/2026
PKG0040,Faisalabad,22.08,1,Fatima Javed,Hassan Malik,Delivered,07/07/2026
PKG0041,Quetta,15.49,3,Ayesha Qureshi,Amna Javed,Pending,25/08/2026
PKG0042,Karachi,6.98,1,Amna Javed,Hassan Ahmed,In Transit,05/07/2026
PKG0043,Peshawar,17.34,2,Hassan Hameed,Fatima Iqbal,Out for Delivery,03/07/2026
PKG0044,Quetta,1.58,2,Saad Khan,Ahmed Sheikh,In Transit,21/08/2026
PKG0045,Sialkot,17.79,3,Hassan Malik,Maryam Qureshi,Pending,15/06/2026
PKG0046,Faisalabad,14.77,1,Ahmed Malik,Usman Khan,Out for Delivery,17/06/2026
PKG0047,Faisalabad,5.65,1,Ali Raza,Hussain Khan,Pending,16/07/2026
PKG0048,Hyderabad,18.86,1,Hamza Javed,Saad Sheikh,In Transit,11/09/2026
PKG0049,Islamabad,4.89,2,Hamza Malik,Saad Sheikh,Out for Delivery,11/09/2026
PKG0050,Lahore,9.87,1,Bilal Butt,Hassan Malik,Out for Delivery,29/06/2026
PKG0051,Peshawar,5.96,3,Fatima Qureshi,Hussain Raza,In Transit,22/07/2026
PKG0052,Quetta,9.1,3,Hussain Raza,Amna Ahmed,Out for Delivery,26/08/2026
PKG0053,Lahore,21.99,2,Amna Javed,Hussain Khan,In Transit,14/08/2026
PKG0054,Multan,8.97,2,Hassan Khan,Ahmed Hameed,Out for Delivery,17/08/2026
PKG0055,Peshawar,6.74,3,Usman Ahmed,Sara Hameed,Out for Delivery,01/06/2026
PKG0056,Faisalabad,11.07,3,Usman Javed,Bilal Butt,Delivered,19/08/2026
PKG0057,Sialkot,8.08,2,Hussain Ahmed,Maryam Raza,Delivered,22/07/2026
PKG0058,Peshawar,10.8,2,Maryam Raza,Usman Malik,In Transit,18/08/2026
PKG0059,Islamabad,7.94,1,Noor Raza,Sara Javed,Out for Delivery,09/09/2026
PKG0060,Rawalpindi,11.32,3,Noor Hameed,Bilal Iqbal,In Transit,05/08/2026
PKG0061,Quetta,13.13,3,Zain Malik,Bilal Ahmed,Delivered,12/06/2026
PKG0062,Peshawar,20.26,1,Amna Butt,Bilal Raza,Pending,06/06/2026
PKG0063,Rawalpindi,10.65,3,Fatima Qureshi,Noor Ahmed,In Transit,31/08/2026
PKG0064,Peshawar,4.12,3,Maryam Sheikh,Zain Sheikh,Pending,23/09/2026
PKG0065,Peshawar,4.81,3,Hamza Ahmed,Hamza Sheikh,Out for Delivery,07/06/2026
PKG0066,Rawalpindi,3.77,2,Usman Butt,Saad Ahmed,Delivered,05/09/2026
PKG0067,Multan,20.85,3,Saad Qureshi,Noor Javed,Out for Delivery,23/09/2026
PKG0068,Peshawar,21.08,2,Ayesha Qureshi,Zain Raza,Out for Delivery,20/08/2026
PKG0069,Quetta,6.25,2,Fatima Raza,Zain Ahmed,Delivered,23/09/2026
PKG0070,Peshawar,9.88,1,Usman Ahmed,Ayesha Malik,In Transit,09/06/2026
PKG0071,Rawalpindi,10.69,1,Sara Sheikh,Hussain Javed,Out for Delivery,20/07/2026
